date,symbol,open,high,low,close,volume
2024-01-02,000333,54.63,55.05,54.2,54.56,23905697.0
2024-01-02,510300,3.502,3.502,3.451,3.453,9429306.0
2024-01-02,510500,5.524,5.53,5.492,5.497,3092572.0
2024-01-02,511010,133.364,133.364,133.03,133.252,31664.0
2024-01-02,518880,4.643,4.667,4.643,4.666,2062784.0
2024-01-02,600036,27.95,27.96,27.56,27.58,542195.0
2024-01-02,600519,1715.0,1718.19,1678.1,1685.01,3215644.0
2024-01-02,600887,26.85,26.85,26.26,26.27,26732203.0
2024-01-02,600900,23.34,23.77,23.32,23.68,68880298.0
2024-01-02,600941,98.7,99.79,97.66,98.73,8018869.0
2024-01-02,601088,31.39,32.65,31.37,32.38,42184092.0
2024-01-02,601318,40.3,40.31,39.46,39.47,437592.0
2024-01-02,601398,4.78,4.83,4.77,4.79,2071811.0
2024-01-02,601857,7.06,7.19,7.05,7.14,122608689.0
2024-01-03,000333,54.59,54.8,54.1,54.45,20689673.0
2024-01-03,510300,3.446,3.46,3.428,3.443,10617503.0
2024-01-03,510500,5.49,5.517,5.461,5.49,2255497.0
2024-01-03,511010,133.215,133.247,133.155,133.217,41739.0
2024-01-03,518880,4.658,4.666,4.655,4.663,1111962.0
2024-01-03,600036,27.58,27.84,27.52,27.77,433956.0
2024-01-03,600519,1681.11,1695.22,1676.33,1694.0,2022929.0
2024-01-03,600887,26.25,26.42,26.0,26.06,28797628.0
2024-01-03,600900,23.67,23.8,23.6,23.76,60752512.0
2024-01-03,600941,98.58,99.5,97.1,97.9,8345920.0
2024-01-03,601088,32.37,33.18,32.3,32.98,31978825.0
2024-01-03,601318,39.47,39.66,39.19,39.4,363822.0
2024-01-03,601398,4.79,4.85,4.78,4.84,2488954.0
2024-01-03,601857,7.14,7.3,7.11,7.28,134655887.0
2024-01-04,000333,54.66,55.32,54.45,55.25,26702502.0
2024-01-04,510300,3.442,3.442,3.387,3.413,16661525.0
2024-01-04,510500,5.491,5.495,5.417,5.446,2747555.0
2024-01-04,511010,133.205,133.394,133.171,133.32,4005.0
2024-01-04,518880,4.64,4.656,4.633,4.651,1149663.0
2024-01-04,600036,27.76,27.83,27.36,27.81,637102.0
2024-01-04,600519,1693.0,1693.0,1662.93,1669.0,2155107.0
2024-01-04,600887,26.09,26.18,25.8,25.97,29419275.0
2024-01-04,600900,23.8,23.98,23.61,23.8,61342335.0
2024-01-04,600941,97.66,99.45,97.2,99.19,9459060.0
2024-01-04,601088,33.01,33.6,33.01,33.43,39050803.0
2024-01-04,601318,39.36,39.58,38.66,38.9,467392.0
2024-01-04,601398,4.84,4.9,4.83,4.89,2865676.0
2024-01-04,601857,7.33,7.46,7.32,7.43,149391302.0
2024-01-05,000333,55.2,56.08,54.85,55.6,30042877.0
2024-01-05,510300,3.404,3.439,3.377,3.396,16996697.0
2024-01-05,510500,5.438,5.463,5.356,5.376,2031987.0
2024-01-05,511010,133.318,133.592,133.283,133.457,3307.0
2024-01-05,518880,4.659,4.665,4.656,4.664,1267497.0
2024-01-05,600036,27.75,28.78,27.62,28.29,1190633.0
2024-01-05,600519,1661.33,1678.66,1652.11,1663.36,2024286.0
2024-01-05,600887,25.98,26.45,25.91,26.12,38718766.0
2024-01-05,600900,23.78,23.95,23.66,23.74,70563121.0
2024-01-05,600941,99.2,99.7,97.37,98.25,8802163.0
2024-01-05,601088,33.33,33.8,33.08,33.45,31655586.0
2024-01-05,601318,38.85,39.58,38.68,38.97,499202.0
2024-01-05,601398,4.89,4.94,4.86,4.87,2860747.0
2024-01-05,601857,7.39,7.59,7.35,7.49,152900232.0
2024-01-08,000333,55.6,55.6,54.62,55.0,27809739.0
