date,symbol,open,high,low,close,volume
2024-01-02,BACHY,9.36,9.58,9.32,9.415,34473.0
2024-01-02,BASFY,13.31,13.41,13.31,13.33,140512.0
2024-01-02,BYDDY,54.48,54.78,53.52,53.7,882167.0
2024-01-02,DTEGY,24.06,24.23,24.03,24.055,226119.0
2024-01-02,NSRGY,112.78,115.61,112.75,115.5,403421.0
2024-01-02,NTDOY,12.97,12.97,12.8,12.8,622184.0
2024-01-02,RHHBY,36.08,36.5,35.37,36.35,1545930.0
2024-01-02,SFTBY,21.9,21.95,21.6,21.61,265713.0
2024-01-02,TCEHY,37.59,37.72,37.36,37.4,2813670.0
2024-01-02,VWAGY,12.96,13.0,12.86,12.98,256035.0
2024-01-03,BACHY,9.36,9.42,9.36,9.42,22974.0
2024-01-03,BASFY,13.03,13.04,12.9,12.97,87799.0
2024-01-03,BYDDY,53.93,54.53,53.8,54.46,788262.0
2024-01-03,DTEGY,24.32,24.44,24.28,24.3,116538.0
2024-01-03,NSRGY,117.07,117.55,116.16,116.58,388105.0
2024-01-03,NTDOY,12.8,12.89,12.6,12.7,439246.0
2024-01-03,RHHBY,36.86,37.245,36.78,37.22,1679741.0
2024-01-03,SFTBY,21.5,21.55,21.3,21.39,204976.0
2024-01-03,TCEHY,38.12,38.79,38.08,38.75,3182803.0
2024-01-03,VWAGY,12.56,12.6,12.51,12.54,404637.0
2024-01-04,BACHY,9.45,9.45,9.4175,9.43,14665.0
2024-01-04,BASFY,12.93,13.02,12.93,12.98,75594.0
2024-01-04,BYDDY,54.47,54.47,51.1,53.61,681079.0
2024-01-04,DTEGY,24.65,24.65,24.54,24.59,121231.0
2024-01-04,NSRGY,115.22,116.34,115.19,116.16,426220.0
2024-01-04,NTDOY,12.52,12.52,12.35,12.42,514952.0
2024-01-04,RHHBY,37.01,37.49,37.01,37.46,2024895.0
2024-01-04,SFTBY,21.02,21.08,20.85,20.95,243862.0
2024-01-04,TCEHY,38.04,38.12,37.76,37.82,3255640.0
2024-01-04,VWAGY,12.74,12.82,12.71,12.78,239265.0
2024-01-05,BACHY,9.84,9.84,9.42,9.43,83940.0
2024-01-05,BASFY,12.8,12.94,12.725,12.74,78904.0
2024-01-05,BYDDY,53.73,53.89,53.32,53.37,388376.0
2024-01-05,DTEGY,24.62,24.88,24.53,24.582,91620.0
2024-01-05,NSRGY,115.87,116.71,115.42,115.8,529760.0
2024-01-05,NTDOY,12.42,12.6,12.42,12.49,421261.0
2024-01-05,RHHBY,36.93,37.16,36.76,37.03,2105848.0
2024-01-05,SFTBY,20.6,21.31,20.6,20.99,264253.0
2024-01-05,TCEHY,37.38,37.59,37.27,37.36,2920041.0
2024-01-05,VWAGY,12.92,13.12,12.88,13.04,260677.0
2024-01-08,BACHY,9.32,9.34,9.3125,9.34,25420.0
2024-01-08,BASFY,12.74,12.83,12.722,12.83,155244.0
2024-01-08,BYDDY,53.29,53.29,52.5,53.195,633203.0
2024-01-08,DTEGY,24.62,24.8,24.62,24.77,145927.0
2024-01-08,NSRGY,116.09,117.13,116.05,116.75,630238.0
2024-01-08,NTDOY,12.55,12.8,12.45,12.79,1120035.0
2024-01-08,RHHBY,36.94,37.33,36.9,37.3,1405380.0
2024-01-08,SFTBY,20.82,21.64,20.82,21.59,402491.0
